time,decision,portfolio value,gas,close
2022-07-12 23:10:14,0,100000.0,,0.999
2022-07-12 23:10:16,0,100000.0,,0.999
2022-07-12 23:10:18,0,100000.0,,0.999
2022-07-12 23:10:22,1,99229.04258130494,7.241097706148777,0.999
2022-07-12 23:10:25,-1,100805.8,7.28377810446,0.999
2022-07-12 23:10:28,0,100805.8,,0.999
2022-07-12 23:10:30,0,100805.8,,0.999
2022-07-12 23:10:33,1,99987.22037319321,7.622208111735555,0.999
2022-07-12 23:10:36,-1,101523.97779188828,7.6671348468,0.999
2022-07-12 23:10:39,-1,101523.97779188828,,0.999
2022-07-12 23:10:42,-1,101523.97779188828,,0.999
2022-07-12 23:10:45,1,100705.39816508148,7.622208111735555,0.999
2022-07-12 23:10:47,1,198458.08516260987,7.622208111735555,0.999
2022-07-12 23:10:50,-1,199176.21802776307,7.6671348468,0.999
2022-07-12 23:10:53,0,199176.21802776307,,0.999
2022-07-12 23:10:56,-1,201531.6,7.6671348468,0.999
2022-07-12 23:11:00,-1,201531.6,,0.999
2022-07-12 23:11:03,1,200713.0203731932,7.622208111735555,0.999
2022-07-12 23:11:06,0,200713.0203731932,,0.999
2022-07-12 23:11:09,-1,202249.77779188828,7.6671348468,0.999
